,Abstract,Address,Address All,Application Date,Application Number,Classification (IPC),Field Of Invention,Publication Type,Status,Title
10,Abstract:  The present invention relates to a novel structural design with ensuring its stability aspect and performance parameters enhancement of solar updraft tower (SUT) power plant for generating electrical energy.,"Associate Professor, Department of Mechanical Engineering, National institute of Technology, Warangal, Telangana State-506004.","Associate Professor, Department of Mechanical Engineering, National institute of Technology, Warangal, Telangana State-506004. | Research Scholar, Department of Mechanical Engineering, National institute of Technology Warangal, Telangana State-506004. | Research Scholar, Department of Mechanical Engineering, National institute of Technology Warangal, Telangana State-506004. | Associate Professor, Department of Mechanical Engineering, National institute of Technology, Warangal, Telangana State-506004.",06/05/2019,201941018001,F03G6/00,MECHANICAL ENGINEERING,INA,Published,DESIGN AND DEVELOPMENT OF SOLAR UPDRAFT TOWER (SUT) PLANT FOR GENERATING ELECTRICAL POWER
11,"Abstract:  The principal objective of the present invention is to provide an advanced, cost-effective and viable solution for large-scale photovoltaic (PV) power generation to overcome the challenges of traditional grid-tied solar system. The present disclosure present a system of power management with maximum power point tracking (MPPT) control of large-scale grid connected inverter for photovoltaic applications. It present an transformer-less grid-tied single-stage cascaded modular multilevel inverter (CM-MLI) system and novel control algorithm to control cascade large-scale grid connected inverter for PV arrays","National Solar Mission Division, Ministry of New & Renewable Energy, New Delhi, India","National Solar Mission Division, Ministry of New & Renewable Energy, New Delhi, India | Department of Computer Science and Engineering, Sharda University, Uttar Pradesh, India | Professor, Department of Mechanical Engineering, Sur University College, Sur, Sultanate of Oman | Chairman of Mechanical and Industrial Engineering Department, Prince Sattam Bin Abdulaziz University, Al Kharj, Saudi Arabia | Vice Chairman of Mechanical and Industrial Engineering Department, Prince Sattam Bin Abdulaziz University, Al Kharj, Saudi Arabia | Department of Electrical Engineering, Poornima Institute of Engineering and Technology, Jaipur, Rajasthan, India | Professor, Department of Computer Applications, Manav Rachna International Institute and Studies, Faridabad, Haryana, India | Department of Mechanical Engineering, Ethiopian Institute of Textile and Fashion Technology, Bahirdar University, Bahirdar, Ethiopia | Department of Electronic & Communication Engineering, Sree Chaitanya College of Technology Sciences, Karin Nagar, Telangana, India | Associate Professor, Department of Mechanical Engineering, Samrat Ashok Technological Institute, Vidisha, Madhya Pradesh, India | Dean Academics and Professor, Department of Mechanical Engineering, Suresh Gyan Vihar University, Jaipur, Rajasthan, India | Head Research & Publication, Amity Business School, Amity University, Greater Noida Campus, Uttar Pradesh, India | Rooftop Division, Ministry of New & Renewable Energy, New Delhi, India | Dattatreya Maharaj Renewable Infra Project Consultancy Private Limited, Rajasthan, India",04/05/2019,201911017877,G05F1/67,ELECTRICAL,INA,Published,SYSTEM OF POWER MANAGEMENT WITH MAXIMUM POWER POINT TRACKING (MPPT) CONTROL OF LARGE-SCALE GRID CONNECTED INVERTER FOR PHOTOVOLTAIC APPLICATIONS
12,"Abstract:  ABSTRACT OF THE INVENTION The present invention named as “Solar energy collector made using plurality of ‘triangle outlined reflectors, concave cylindrical reflectors, and absorbers’” is “a stationary solar thermal energy collection device having sunlight concentration ratio of three. This device is useful for steam generation and also useful for heating of thermic fluid up to temperatures more than 100 degrees centigrade. The present invention relates to Physical Sciences. This device consists of following components. 1)	Plurality of ‘triangle outlined sunlight reflectors, concave cylindrical sectioned sunlight reflectors, and solar energy absorbers placed in parallel rows on their supporting means, such that “there are two concave cylindrical sectioned sunlight reflectors in between two triangle outlined sunlight reflectors and a solar energy absorber placed just above interconnecting linear joint of two concave cylindrical sectioned sunlight reflectors”. Said all reflectors and solar energy absorbers are arranged such that those are capable of collectively intercepting and absorbing most of the energy of sunlight incident on them. 2)	“A big framed structure or any other suitable means” capable of holding and supporting said “plurality of sets of triangle outlined reflectors, concave cylindrical sectioned sunlight reflectors, and solar energy absorbers in predefined manner” on its top side. 3)	“Detachable manifold” for holding and supporting ‘inlet, and outlet header pipes’ in thermal insulated covering. 4)	“Detachable transparent top covering” provided to cover top surface of said device to prevent accumulation of dust on said “plurality of sets of triangle outlined reflectors, concave cylindrical sectioned sunlight reflectors, and solar energy absorbers’”. 5)	A “detachable” tank mounted on a stand at suitable elevation can be provided (adjacent to said solar energy absorbing device) for storage of ‘water, or thermal fluid’ for continuous supply of ‘water, or thermic fluid’ through thermal insulated pipe conduits to inlet header pipes of solar energy absorbing means “to avoid development of high temperature in said solar energy absorbing means” by ensuring continuous supply of ‘water or thermic fluid’ used for circulation of thermal energy. Said two types of reflectors namely “triangle outlined reflectors, and concave cylindrical sectioned sunlight reflectors” reflect most of the incident sunlight towards ‘the solar energy absorber provided in between them, subjected to the condition of orientation of the device such that said all reflectors and absorbers are capable of receiving and intercepting sunlight throughout day.","V. RAJESHWARA PRASAD, House No: 2-4-118, Ramnagar street, Hanamkonda Town, Warangal (Urban) District, Telangana State, INDIA PIN Code: (506001)","V. RAJESHWARA PRASAD, House No: 2-4-118, Ramnagar street, Hanamkonda Town, Warangal (Urban) District, Telangana State, INDIA PIN Code: (506001)",03/05/2019,201941017876,H01L31/00,ELECTRICAL,INA,Published,"SOLAR ENERGY COLLECTOR MADE USING PLURALITY OF ‘TRIANGLE OUTLINED REFLECTORS, CONCAVE CYLINDRICAL REFLECTORS, AND ABSORBERS’"
13,"Abstract:  The present invention discloses a technique to improve disinfection rate in water stored in plastic containers like bottles and cans by depositing Aluminium (Al) or Chromium (Cr) or other materials capable to obtain mirror like finish on the outer surface of the plastic bottle. These materials can be deposited by Chemical vapor deposition or vacuum metallization. The plastic containers can be of various shape and sizes. This phenomenon can be applied onto plastic water portable or storage containers with or without antimicrobial/ germicide materials coated on the inner wall/s of the water storage containers. The mirror like solar reflector coat will bounce radiation back from surface and helps to boost the rate of inactivation of microbes or reduce the microbial activity in the water body. Furthermore, when deposited on bottles which already have an inner lining of antimicrobial or photo-catalytic coating this reflective outer coat will enhance the efficiency of inner coat.","Door no: 54-1-19/1, Isukathota, Main road, opposite IOCL petrol bunk,Visakhapatnam - 530022,","Door no: 54-1-19/1, Isukathota, Main road, opposite IOCL petrol bunk,Visakhapatnam - 530022, | House number :8 , Bye Lane-7, Lachit Nagar, Guwahati, 781007. | House number: 2-10, Main Veedhi, Siripuram, Srikakulam- 532168. | Flat number: 1209, KVNM Dollfine Estates, Pantakaluva road, Kanuru, Vijayawada,520007 | House No: 54-3-22, Ramalayam street, Isukathota, Visakhapatnam, 530022.",01/05/2019,201941017442,H02S20/00,CHEMICAL,INA,Published,DEPOSITION OF SOLAR REFLECTIVE COAT ON THE OUTER WALL OF PLASTIC CONTAINER FOR ENHANCED SOLAR WATER DISINFECTION APPLICATIONS
14,"Abstract:  ABSTARCT OF THE INVENTION The device named as “Solar energy collection using few sets of ‘isosceles triangle outlined reflectors, flat reflectors, and absorbers’” is a solar thermal energy collection device useful for collecting solar thermal energy at temperatures above 100 degree centigrade, throughout period of incidence of useful sunlight. The present invention relates to physical Sciences. This device consists of following components. 1)	Plurality of ‘isosceles triangle outlined reflectors, flat (plane) sunlight reflectors, and solar energy absorbers’ placed in parallel rows on their supporting means, such that said all reflectors and absorbers are capable of collectively intercepting and absorbing most of the energy of sunlight incident on them. Said all isosceles triangle outlined reflectors and solar energy absorbers are arranged such that there is a means for solar energy absorption in-between two isosceles triangle outlined reflectors, and there are flat sunlight reflectors in between them. Said each one isosceles triangle outlined reflector is fitted with plane sunlight reflective means on either side to serve the purpose of specular reflection of ‘most of the incident sunlight’ through-out day towards solar energy absorbers placed adjacent to it’s either side faces. ‘Flat (plane) sunlight reflectors’ are also provided in between (lower) outer edges of adjacent isosceles triangle outlined reflectors to reflect sunlight (reflected by said isosceles triangle outlined reflectors) towards said solar energy absorbers. 2)	“A big framed structure or any other suitable means” capable of holding and supporting said “plurality of isosceles triangle outlined reflectors, flat sunlight reflectors, and solar energy absorbers in predefined manner” on its top side”. 3)	A “detachable” transparent top covering provided to cover top surface of said device to prevent accumulation of dust on said “plurality of sets of isosceles triangle outlined reflectors, and solar energy absorbers’”. 4)	A “detachable” tank mounted on a stand at suitable elevation can be provided for storage of ‘water, or thermal fluid’ for continuous supply of ‘water, or thermic fluid’ through thermal insulated pipe conduits to inlet header pipes of solar energy absorbing means “to avoid development of high temperature in said solar energy absorbing means” due to absence of ‘water or thermic fluid’. “Isosceles triangle outlined reflectors’ and flat reflectors” provided on either side of ‘a solar energy absorber’ reflects most of the incident sunlight towards ‘the solar energy absorber provided in between them, subjected to the condition of orientation of the device such that said all reflectors and absorbers are capable of receiving and intercepting sunlight throughout day without any adjustment. In case of small devices fitted with wheels, it is advisable to do orientation of “longitudinal axis of said reflectors at right angle to direction of incident sunlight” either once in a day or at least once in a week, to get better output from the device.","V. RAJESHWARA PRASAD, House No: 2-4-118, Ramnagar street, Hanamkonda Town, Warangal (Urban) District, Telangana State, INDIA PIN Code: (506001)","V. RAJESHWARA PRASAD, House No: 2-4-118, Ramnagar street, Hanamkonda Town, Warangal (Urban) District, Telangana State, INDIA PIN Code: (506001)",29/04/2019,201941016861,G01S3/00,ELECTRICAL,INA,Published,"“SOLAR ENERGY COLLECTION USING FEW SETS OF ‘ISOSCELES TRIANGLE OUTLINED REFLECTORS, FLAT REFLECTORS, AND ABSORBERS’”"
15,"Abstract:  This invention very useful of common Indian people who use the mobile “IMC-Charger“ {INTELLIGENT MOBILE PHONE PROTECTIVE CASE WITH SOLAR CHARGER THIN BATTERY } Traditional mobile charger is having cable with adapter to charge mobile and to charge mobile needs power connection outlet. In traditional mobile user need to carry charger and need to plug cable to charge mobile. So this “IMC-Charger“ no need to carry charging accessories with user. Also traditional mobile get switched off when battery charging gets finish, but this new invention “ IMC-Charger “ having auto charging facility also have Wi-Fi charging facility that means when this mobile comes under 7% battery charging then automatically start charging process. “ IMC-Charger” provides protection of mobile if you’re mobile is through the ground position at certain Height and also provide the case of mobile is many attractive colors with witless thin solar plate. “","SURYADATTA GROUP OF INSTITUTE, SURYABHAVAN, S. NO. 342, BAVDHAN, PUNE – 411021, MH, INDIA","SURYADATTA GROUP OF INSTITUTE, SURYABHAVAN, S. NO. 342, BAVDHAN, PUNE – 411021, MH, INDIA | DEPARTMENT OF COMPUTER ENGINEERING, NIT- SILCHAR,ASSAM,INDI NIT ROAD, FAKIRATILLA, SILCHAR, ASSAM 788010, : | ST. MARTIN'S ENGINEERING COLLEGE, NEAR, SY. NO.98 & 100, DULAPALLY ROAD, DHULAPALLY, KOMPALLY, HYDERABAD, TELANGANA 500014, INDIA | H.NO:10-1-85, PLOT NO: 241, RTC COLONY, RAMPAQLLY, HYDERABAD-501301, INDIA | CVR COLLEGE OF ENGINEERING, (M), RANGAREDDY (D, VASTUNAGAR, MANGALPALLI (V), PIN CODE501510, IBRAHIMPATNAM, POCHARAM, HYDERABAD, TELANGANA | SR. ASSISTANCE PROFESSOR ECS DEPT. ADITYA ENGINEERING COLLEGE, ADITYA NAGAR, ADB RAOD, SURAMPALEM, PIN-533437(CC-A9) INDIA | NIT-ANDHRA PRADESH ,PLOT NO: 75-A, D. NO: 40-1-9/1, KASTURINAGAR, SALAGRAMAPURAM, VISAKHAPATNAM, 530024,AP , INDIA, | GMR INSTITUTE OF TECHNOLOGY ANDHRA PRADESH, Address: 9-4-189, KRISHNA NAGAR, GAJUWAKA VIZAG 530026,AP, | PROF. BASWARAJ SHIVANAND MASHALKAR FL NO-304, CHITRA , SUVIDHA AMBAR SOCIETY, NEAR, ZEAL COLLEGE , NARHE PUNE-411041, MH, INDIA | FL NO-304, CHITRA , SUVIDHA AMBAR SOCIETY, NEAR, ZEAL COLLEGE , NARHE PUNE-411041, MH, INDIA",25/04/2019,201921016540,H02J 7/00,ELECTRICAL,INA,Published,IMC-CHARGER: INTELLIGENT MOBILE PHONE PROTECTIVE CASE WITH SOLAR CHARGER THIN BATTERY
16,"Abstract:  ABSTRACT SYSTEMS AND METHODS FOR PROVIDING SAFETY DURING ANY EMERGENCY INDEPENDENT OF GPS AND CELLULAR NETWORK The invention is a mechanism for providing safety against any form of emergency is described. It is based on wireless network using IoT technology. User must have a portable device for alerting the concerned authorities to prevent any mishap. The portable device consists of a triggering element. Access points are installed throughout the area and are powered using solar panels. In case of any emergency, the victim will trigger the portable device. This portable device communicate with the access points and the information from the portable device are routed by these access points to the central stations at prominent places in the region. An alarm will be triggered as soon as the first message reaches. The location of the victim is tracked based on user""s proximity to the nearest access point without dependency on real - time GPS coordinates.","SARDAR PATEL INSTITUTE OF TECHNOLOGY, MUNSHI NAGAR, BHAVAN'S CAMPUS, ANDHERI(W), MUMBAI 400058, MAHARASHTRA,INDIA","SARDAR PATEL INSTITUTE OF TECHNOLOGY, MUNSHI NAGAR, BHAVAN'S CAMPUS, ANDHERI(W), MUMBAI 400058, MAHARASHTRA,INDIA | SARDAR PATEL INSTITUTE OF TECHNOLOGY, MUNSHI NAGAR, BHAVAN'S CAMPUS, ANDHERI(W), MUMBAI 400058, MAHARASHTRA,INDIA | SARDAR PATEL INSTITUTE OF TECHNOLOGY, MUNSHI NAGAR, BHAVAN'S CAMPUS, ANDHERI(W), MUMBAI 400058, MAHARASHTRA,INDIA | SARDAR PATEL INSTITUTE OF TECHNOLOGY, MUNSHI NAGAR, BHAVAN'S CAMPUS, ANDHERI(W), MUMBAI 400058, MAHARASHTRA,INDIA",25/04/2019,201921016447,H04W 84/00 H04W 12/00,COMMUNICATION,INA,Published,"""SYSTEMS AND METHODS FOR PROVIDING SAFETY DURING ANY EMERGENCY INDEPENDENT OF GPS AND CELLULAR NETWORK"""
17,Abstract:  The present invention is a solar cell (100) comprising a base layer (13) an emitter layer (12) a base electrode (25) and an emitter electrode the solar cell being characterized by: including a dielectric film (42) contacting the base layer (13) and the emitter layer (12); including a first insulating film (43) that covers the emitter electrode is positioned on the dielectric film (42) and is arranged so as to have a gap at least over the base layer (13); including a base bus bar electrode (35) positioned over at least the first insulating film (43); and the length (44) of the gap of the first insulating film (43) being 40µm to (W+110)µm inclusive (where W is the width of the base layer in the gap direction). The foregoing configuration makes it possible to: suppress consumption of insulating material; ease a reduction in parallel resistance caused by contact of the base busbar electrode and the emitter region while maintaining a favorable electrical connection between the base busbar electrode and the base electrode; and improve solar cell characteristics.,"c/o Advanced Functional Materials Research Center, SHIN-ETSU CHEMICAL CO.,LTD., 13-1, Isobe 2-chome, Annaka-shi, Gunma 379-0195","c/o Advanced Functional Materials Research Center, SHIN-ETSU CHEMICAL CO.,LTD., 13-1, Isobe 2-chome, Annaka-shi, Gunma 379-0195 | c/o Advanced Functional Materials Research Center, SHIN-ETSU CHEMICAL CO.,LTD., 13-1, Isobe 2-chome, Annaka-shi, Gunma 379-0195 | c/o Advanced Functional Materials Research Center, SHIN-ETSU CHEMICAL CO.,LTD., 13-1, Isobe 2-chome, Annaka-shi, Gunma 379-0195 | c/o Advanced Functional Materials Research Center, SHIN-ETSU CHEMICAL CO.,LTD., 13-1, Isobe 2-chome, Annaka-shi, Gunma 379-0195",25/04/2019,201947016434,H01L31/0224H01L31/068,ELECTRICAL,INA,Published,SOLAR CELL HAVING HIGH PHOTOELECTRIC CONVERSION EFFICIENCY AND METHOD FOR MANUFACTURING SOLAR CELL HAVING HIGH PHOTOELECTRIC CONVERSION EFFICIENCY
18,"Abstract:  I-Mobile Case Charger stands for Intelligent Mobile Phone Protective Case and Charger. Traditional mobile charger is having cable with adapter to charge mobile and to charge mobile needs power connection outlet. In traditional mobile user need to carry charger and need to plug cable to charge mobile. So this I-Mobile case charger eliminates need to carry charging accessories with user. Also traditional mobile get switched off when battery charging gets finish, but this new invention I-Mobile Case charger having auto charging facility also have Wi-Fi charging facility that means when this mobile comes in range of magnetic field it automatically start charging process. I-Mobile Case Charger provides protection of mobile if you’re mobile is through the ground position at certain Height and also provide the case of mobile is many attractive colours with witless solar plate. I-Mobile Case Charger provides the real time mirror all quality.","ASSOCIATE PROFESSOR, DEPARTMENT OF CSE, VEL TECH RANGARAJAN DR SAGUNTHALA R&D INSTITUTE OF SCIENCE AND TECHNOLOGY, CHENNAI – 600062","ASSOCIATE PROFESSOR, DEPARTMENT OF CSE, VEL TECH RANGARAJAN DR SAGUNTHALA R&D INSTITUTE OF SCIENCE AND TECHNOLOGY, CHENNAI – 600062 | PROFESSOR, DEPARTMENT OF CSE, VEL TECH RANGARAJAN DR SAGUNTHALA R&D INSTITUTE OF SCIENCE AND TECHNOLOGY, CHENNAI – 600062 | ASSISTANT PROFESSOR, DEPARTMENT OF CSE, VEL TECH RANGARAJAN DR SAGUNTHALA R&D INSTITUTE OF SCIENCE AND TECHNOLOGY, CHENNAI – 600062 | ASSISTANT PROFESSOR, DEPARTMENT OF CSE, VEL TECH RANGARAJAN DR SAGUNTHALA R&D INSTITUTE OF SCIENCE AND TECHNOLOGY, CHENNAI – 600062 | ASSISTANT PROFESSOR, DEPARTMENT OF CSE, VEL TECH RANGARAJAN DR SAGUNTHALA R&D INSTITUTE OF SCIENCE AND TECHNOLOGY, CHENNAI – 600062 | ASSISTANT PROFESSOR, DEPARTMENT OF CSE, VEL TECH RANGARAJAN DR SAGUNTHALA R&D INSTITUTE OF SCIENCE AND TECHNOLOGY, CHENNAI – 600062 | PROJECT DIRECTOR, TCS -PUNE ,INDIA, PUNE-411021",24/04/2019,201941016288,H02J7/00,ELECTRICAL,INA,Published,I-MOBILE CASE CHARGER:INTELLIGENT MOBILE PHONE PROTECTIVE CASE AND CHARGER
19,"Abstract:  ABSTRACT OF THE INVENTION This device named as “Plurality of interconnected sets of ‘two concave reflectors, and absorber’ forming big solar energy absorber” is a solar thermal energy collection device useful “to intercept sunlight passing away from absorber through location adjacent to said absorber, and to concentrate the sunlight towards said absorber. Detailed description of ‘construction details, and functional features’ of major components of the device (which is useful to intercept sunlight passing away from absorber through location adjacent to said absorber, and to reflect the sunlight towards said absorber) are as follows. 1) Plurality of sets of ‘compound concave cross sectioned reflectors, and absorbers’ arranged in closely packed manner to surround longitudinal axis of the solar thermal energy absorbing device so as to form a tall and wide solar energy absorbing device. Said each one set consists of “a compound concave cross sectioned sunlight reflector formed by a pair of concave cross sectioned sunlight reflectors symmetrically interconnected along flat outer edges” and provided with a means for solar energy absorption along its mid-width vertical plane. Said each one compound concave cross sectioned reflector serves the purpose of specular reflection of ‘most of incident sunlight’ towards said solar energy absorber through-out day. Absorbers of all sets are interconnected at their lower outer ends with inlet manifold and at their elevated outer ends with outlet manifold. 2) “A framed structure or any other suitable means” capable of holding and supporting said “plurality of sets of compound concave reflectors and absorbers arranged in closely packed manner to surround longitudinal axis of the solar thermal energy absorbing device” such that longitudinal axis of all solar energy absorbers are symmetrically arranged with reference longitudinal axis of said device”. 3) “Detachable plane mirror” provided at top end of said device to reflect the outward moving sunlight (that is sunlight tending to move away from said solar energy absorber) towards said solar energy absorber. 4) “Detachable transparent sheets” provided to cover ‘bottom side face, top side face and entire outer vertical planes’ of said device to prevent accumulation of dust on surface of said ‘plurality of sets of compound concave cross sectioned sunlight reflectors, and absorbers’. Said transparent sheets can be provided along top side face only if said “detachable plane mirror” is not provided at top end of said device","V. RAJESHWARA PRASAD, House No: 2-4-118, Ramnagar street, Hanamkonda Town, Warangal (Urban) District, Telangana State, INDIA PIN Code: (506001)","V. RAJESHWARA PRASAD, House No: 2-4-118, Ramnagar street, Hanamkonda Town, Warangal (Urban) District, Telangana State, INDIA PIN Code: (506001)",20/04/2019,201941015790,H01Q15/00,MECHANICAL ENGINEERING,INA,Published,"“PLURALITY OF INTERCONNECTED SETS OF ‘TWO CONCAVE REFLECTORS, AND ABSORBER’ FORMING BIG SOLAR ENERGY ABSORBER”"
20,"Abstract:  The present invention is related to a micro processing unit and IoT sensors based controller system that enables selective management of energy supply into a household of the invention is illustrated and comprising of plurality of sub-components i.e., a Grid Power Supply System, A Power Demand System, a Power Distribution Box, a Smart Energy Controller, a Solar Energy Secondary Power Supply and Timing System Unit. Energy is supplied through the city network grid to a specially designed power distribution box which redistributes power to separate lines through a series of power relay switches, each serving a different load category e.g., heavy, medium and low,. A second switch bank is optional which is individually supplied by separate lines supplied, either directly from green energy supplies such as solar or thermal systems, or indirectly after storage in a battery or thermal energy storage system.","Principal & Associate Professor, Department of Electrical & Electronics Engineering, Trinity College of Engineering & Technology, Karimnagar, Telangana.","Principal & Associate Professor, Department of Electrical & Electronics Engineering, Trinity College of Engineering & Technology, Karimnagar, Telangana. | Assistant professor, Department of Applied Physics, Jabalpur Engineering College, Gokalpur, Jabalpur, MP. | Professor, Department of Electrical & Electronics Engineering Technocrats Institute of Technology, Anand Nagar, Bhopal, MP. | Professor, Department of Electrical & Electronics Engineering Technocrats Institute of Technology, Anand Nagar, Bhopal, MP. | Professor, Department of Electrical & Electronics Engineering Vidhyapeeth Institute of Science & Technology, Bhopal, MP.",20/04/2019,201941015762,B60L11/00,ELECTRICAL,INA,Published,INTELLIGENT ADAPTIVE SYSTEM AND METHOD THEREOF FOR HOUSEHOLD ENERGY CONTROL AND DITRIBUTION
21,"Abstract:  The present invention is related to system of hybrid renewable energy network for secure and effective power supply, the system having a solar panel system, a wind power system, a voltage source converter (vsc)-mtdc transmission system and a dc transmission network, the system comprises supporting electronic circuit for the operation of the system, the present hybrid renewable energy network for solar and wind energy worked with parallel operation of the system has been maintained without any interruption, even though the energy sources have different input voltages. Refer to Figure 4.","National Solar Mission Division, Ministry of New & Renewable Energy, New Delhi, India","National Solar Mission Division, Ministry of New & Renewable Energy, New Delhi, India | Professor, Department of Mechanical Engineering, Sur University College, Sur, Sultanate of Oman | Chairman of Mechanical and Industrial Engineering Department, Prince Sattam Bin Abdulaziz University, Al Kharj, Saudi Arabia | Department of Mechanical Engineering, Ethiopian Institute of Textile and Fashion Technology, Bahirdar University, Bahirdar, Ethiopia | Vice Chancellor, Quantum University, Uttarakhand, India | Department of Computer Science and Engineering, Sharda University, Uttar Pradesh, India | Dean Academics and Professor, Department of Mechanical Engineering, Suresh Gyan Vihar University, Jaipur, Rajasthan, India | Head Research & Publication, Amity Business School, Amity University, Greater Noida Campus, Uttar Pradesh, India | National Solar Mission Division, Ministry of New & Renewable Energy, New Delhi, India | National Solar Mission Division, Ministry of New & Renewable Energy, New Delhi, India | National Solar Mission Division, Ministry of New & Renewable Energy, New Delhi, India | Dattatreya Maharaj Renewable Infra Project Consultancy Private Limited, Rajasthan, India",20/04/2019,201911015759,F01K 3/00,MECHANICAL ENGINEERING,INA,Published,SYSTEM OF HYBRID RENEWABLE ENERGY NETWORK FOR SECURE AND EFFECTIVE POWER SUPPLY
22,"Abstract:  ABSTRACT OF THE INVENTION This device named as “Plane reflectors provided radially around long absorber to intercept sunlight and reflect towards said absorber” is a solar thermal energy collection device useful “to intercept sunlight passing away from absorber through location adjacent to said absorber, and to concentrate the sunlight towards said absorber. Before beginning of explanation about construction details of the device, “we assume that” the device consists of a long solar energy absorber which is either ‘made of metal and coated with material having resistance to loss of thermal energy by conduction, reflection and radiation’ or ‘an evacuated glass tube’, or any other suitable type of ‘long solar energy absorber’. It is also assumed that, said solar thermal energy absorber is provided with inlet and outlets and connected through properly insulated pipe conduits to thermal energy storage or utilisation means so as to form a closed loop for circulation of thermal energy by means water or thermic fluid used as thermal energy collection and circulation means. This device consists of following components, “provided as additional accessories to hold and surround a long solar energy absorber to serve the purpose of intercepting sunlight passing away from absorber through location adjacent to said absorber, and to reflect and concentrate the sunlight towards said absorber”. 1)	“Plurality of long sunlight reflective mirrors having specular sunlight reflective surfaces on either side” provided along radial planes at equal angular intervals all around a long solar energy absorber. Said sunlight reflective mirrors are provided to intercept sunlight passing away from the location adjacent to said absorber’s outer periphery and to reflect the sunlight towards said long solar energy absorber. 2)	A framed structure provided to hold and support “said absorber, and said plurality of sunlight reflective mirrors” in predefined relative positions. 3)	“Detachable plane mirror” provided at top end of said framed structure to hold and support “said absorber, and said plurality of sunlight reflective mirrors” to reflect the outward moving sunlight (that is sunlight tending to move away from said solar energy absorber) towards said solar energy absorber.","V. RAJESHWARA PRASAD, House No: 2-4-118, Ramnagar street, Hanamkonda Town, Warangal (Urban) District, Telangana State, INDIA PIN Code: (506001)","V. RAJESHWARA PRASAD, House No: 2-4-118, Ramnagar street, Hanamkonda Town, Warangal (Urban) District, Telangana State, INDIA PIN Code: (506001)",20/04/2019,201941015744,H01L31/00,MECHANICAL ENGINEERING,INA,Published,“PLANE REFLECTORS PROVIDED RADIALLY AROUND LONG ABSORBER TO INTERCEPT SUNLIGHT AND REFLECT TOWARDS SAID ABSORBER”
23,"Abstract:  The device named as “Plurality of sets of sunlight reflectors mounted on rotatable frames to concentrate sunlight on absorber” is a solar thermal energy concentration device capable of collecting solar thermal energy at temperatures up to and above 300 degree centigrade. The present invention relates to Physical Sciences. This device consists of following components. 1) “Plurality of groups of sunlight reflectors” mounted on top of a rotatable big framed structure (with suitable supporting means), such that “each one group of sunlight reflectors” can be oriented independently for collective concentration of sunlight on an elevated solar energy absorber. Said each one group of reflectors consists of “plurality of sets of sunlight reflectors” placed in parallel rows. Among said “plurality of sets of sunlight reflectors”, each one set consists of “plurality of sunlight reflectors held and supported in a row ‘either on a long rigid structural member, or a long frame’ such that longitudinal axes of said all sunlight reflectors lie in similar direction duly ensuring that said all reflectors in a row are capable of collectively concentrating sunlight on a solar energy absorber placed at suitable elevation with reference to said reflectors top surface. 2)	Plurality of sets of “tiltable and rotatable frames” provided in plurality of sets of parallel rows for holding and supporting said sunlight reflectors so as to form plurality of groups of sunlight reflectors. Said tiltable and rotatable means are “either long rigid structural members, or long frames or any other suitable type of holding and supporting means”. Said “plurality of long rigid structural members, or long frames” are supported in parallel rows on a big framed structure duly maintaining sufficient space in between them, such that said “plurality of sets of sunlight reflectors” can be oriented in suitable manner. Said all reflectors are capable of collectively concentrating sunlight on an elevated solar energy absorber. 3) “A big framed structure” provided for holding and supporting said “plurality of sets of long rigid structural members, or long frames” provided to hold and support said plurality of groups of sunlight reflectors such that said each one ‘long rigid structural member, or long frame’ is capable of turning or rotating around a longer axis passing through its centroid. Said big framed structure also supports an elevated solar energy absorber along with all other necessary components. It is fitted with wheels to allow orientation of sunlight reflectors mounted on said device towards the Sun. 4)	“Means for orientation of said plurality of groups of sunlight reflectors towards the Sun at regular time intervals throughout day” are provided for ensuring collective concentration of sunlight on said elevated solar thermal energy absorber throughout period of sunshine by said “plurality of groups of sunlight reflectors held and supported over said plurality of sets of long rigid structural members, or long frames”. 5)	“Detachable means for solar energy absorption” ‘either supported over, or hanged from a column, or column like vertical frame, or from any other suitable elevated frame’ provided along mid-width or mid-length line of said big framed structure. Said ‘means for solar energy absorption’ is provided for absorption of most of energy of entire sunlight incident on it. 6)	A column provided “along vertical axis of said big framed structure” to serve the purpose “as a load bearing support, and also as an anchoring device”, and also to restrict rotation of said big framed structure with-in predefined boundary. 7)	A “detachable” transparent top covering made of highly transparent plane sheet can be provided to cover top surface of said “plurality of sets of sunlight reflectors” mounted on said big framed structure. It is supported on top surface of said big framed structure supporting said plurality of ‘sets of reflectors’. Said detachable ”transparent top covering” serves the purpose of preventing accumulation of dust on top surface of said all reflectors.","V. RAJESHWARA PRASAD, House No: 2-4-118, Ramnagar street, Hanamkonda Town, Warangal (Urban) District, PIN Code: (506001)","V. RAJESHWARA PRASAD, House No: 2-4-118, Ramnagar street, Hanamkonda Town, Warangal (Urban) District, PIN Code: (506001)",19/04/2019,201941015739,H01L31/00,MECHANICAL ENGINEERING,INA,Published,“PLURALITY OF GROUPS OF CONCAVE REFLECTORS MOUNTED ON ROTATABLE FRAMES TO CONCENTRATE SUNLIGHT ON ABSORBER”
